                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74864,                 1.6247,                 2.0594,                 1.2921,                0.78414,                0.63188,                0.72203,                0.46375,                0.78414,                0.63188,                0.69854,                0.47858,                 1.0435,                 2.6823,                 2.0343,                 2.0144,             0.00055005,             0.00055005,             0.00055005
                      2,                0.78537,                 1.2989,                 1.5047,                 1.2867,                0.55401,                0.78186,                0.67828,                0.41171,                0.51548,                0.72169,                0.61521,                0.29526,                 1.1634,                 4.1246,                 1.8387,                 2.3065,              0.0010619,              0.0010619,              0.0010619
                      3,                0.80024,                 1.2759,                 1.3956,                 1.3107,                0.61962,                0.68273,                0.66815,                0.47478,                0.59588,                0.67624,                0.65748,                0.48051,                0.90631,                 1.6148,                 1.8445,                  1.838,              0.0015298,              0.0015298,              0.0015298
                      4,                0.80334,                 1.2234,                  1.263,                 1.2982,                 0.7517,                0.66667,                0.74654,                0.52484,                 0.7095,                0.63633,                0.71323,                0.48439,                0.97214,                 2.0734,                 1.5747,                 1.8764,               0.001469,               0.001469,               0.001469
                      5,                0.76146,                 1.2052,                 1.1272,                 1.2606,                0.82683,                0.77296,                0.81113,                0.53531,                0.83832,                0.78173,                0.82733,                0.54752,                 1.0578,                  2.164,                 1.3997,                 1.9527,               0.001469,               0.001469,               0.001469
                      6,                0.73716,                 1.2161,                 1.0777,                 1.2501,                0.84777,                0.72996,                0.87531,                0.66312,                0.85126,                0.71554,                0.86592,                0.61736,                0.86706,                 1.8228,                 1.1959,                 1.7006,              0.0014029,              0.0014029,              0.0014029
                      7,                0.73355,                 1.1763,                 1.0168,                 1.2439,                0.91898,                0.79733,                0.89198,                0.71074,                0.91329,                0.78817,                0.88309,                0.67192,                0.79447,                 1.5372,                 0.9233,                 1.5772,              0.0013369,              0.0013369,              0.0013369
                      8,                0.68797,                 1.0834,                0.93145,                 1.1988,                0.86984,                0.81335,                0.86158,                0.66347,                 0.8633,                  0.807,                 0.8533,                0.68673,                0.84186,                 1.2625,                 1.0106,                 1.6626,              0.0012709,              0.0012709,              0.0012709
                      9,                0.66116,                 1.0373,                0.92066,                 1.1871,                 0.8601,                0.82614,                0.89272,                0.70507,                 0.8601,                0.82614,                0.88789,                0.73682,                0.79853,                 1.2977,                0.91094,                 1.6522,              0.0012049,              0.0012049,              0.0012049
                     10,                0.64672,                0.98253,                0.85544,                 1.1859,                0.91823,                0.82214,                0.88352,                0.71676,                0.92765,                0.80943,                0.88279,                0.73606,                0.79643,                 1.2131,                0.97576,                 1.5921,              0.0011389,              0.0011389,              0.0011389
                     11,                0.61085,                0.94836,                0.81856,                 1.1518,                0.83258,                0.81681,                 0.8687,                0.69317,                0.84181,                0.81681,                0.86196,                0.71203,                0.78342,                  1.346,                0.88892,                 1.5556,              0.0010729,              0.0010729,              0.0010729
                     12,                0.58226,                0.92746,                0.77445,                 1.1353,                0.88283,                0.85446,                0.90147,                0.74645,                0.88283,                0.85446,                0.90576,                0.78039,                  0.717,                 1.1638,                0.85157,                 1.5058,              0.0010069,              0.0010069,              0.0010069
                     13,                0.57764,                0.89984,                0.74276,                 1.1458,                0.89872,                 0.7992,                 0.8922,                0.72982,                0.89872,                 0.7992,                0.89091,                0.74988,                0.70272,                 1.1935,                0.82799,                 1.4588,             0.00094085,             0.00094085,             0.00094085
                     14,                 0.5603,                0.88131,                0.70271,                 1.1235,                0.81262,                0.83628,                0.89157,                0.74089,                0.81262,                0.83628,                0.89235,                0.76167,                0.65377,                 1.2191,                0.81133,                 1.4259,             0.00087484,             0.00087484,             0.00087484
                     15,                0.55653,                0.91088,                0.71088,                 1.1239,                 0.8226,                0.78013,                0.86578,                0.70821,                0.81396,                0.77364,                0.85717,                0.71247,                0.68102,                 1.2382,                0.81447,                 1.4624,             0.00080883,             0.00080883,             0.00080883
                     16,                0.53551,                0.88138,                0.74032,                 1.2875,                 0.8791,                 0.8359,                0.86673,                0.72202,                0.90528,                0.85921,                0.88369,                0.76459,                0.71042,                0.95921,                0.87598,                 1.4806,             0.00074282,             0.00074282,             0.00074282
                     17,                0.47668,                0.81584,                0.65517,                 1.2096,                0.90756,                0.87696,                0.91352,                0.77396,                0.90756,                0.87696,                0.91094,                0.80631,                0.65144,                 0.9001,                0.66866,                 1.4648,              0.0006768,              0.0006768,              0.0006768
